symbol,icon,color,explanation
XOM,https://image-cdn.pluang.com/icons/light/global-stocks/xom.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
JNJ,https://image-cdn.pluang.com/icons/light/global-stocks/jnj.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
ABBV,https://image-cdn.pluang.com/icons/light/global-stocks/abbv.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
TMUS,https://image-cdn.pluang.com/icons/light/global-stocks/tmus.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
CVX,https://image-cdn.pluang.com/icons/light/global-stocks/cvx.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
MRK,https://image-cdn.pluang.com/icons/light/global-stocks/mrk.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
NVS,https://image-cdn.pluang.com/icons/light/global-stocks/nvs.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
PEP,https://image-cdn.pluang.com/icons/light/global-stocks/pep.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
SHEL,https://image-cdn.pluang.com/icons/light/global-stocks/shel.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
T,https://image-cdn.pluang.com/icons/light/global-stocks/t.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
VZ,https://image-cdn.pluang.com/icons/light/global-stocks/vz.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
AMGN,https://image-cdn.pluang.com/icons/light/global-stocks/amgn.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
RTX,https://image-cdn.pluang.com/icons/light/global-stocks/rtx.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
CAT,https://image-cdn.pluang.com/icons/light/global-stocks/cat.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
PFE,https://image-cdn.pluang.com/icons/light/global-stocks/pfe.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
UNP,https://image-cdn.pluang.com/icons/light/global-stocks/unp.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
NEE,https://image-cdn.pluang.com/icons/light/global-stocks/nee.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
SNY,https://image-cdn.pluang.com/icons/light/global-stocks/sny.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
UL,https://image-cdn.pluang.com/icons/light/global-stocks/ul.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
HON,https://image-cdn.pluang.com/icons/light/global-stocks/hon.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
TTE,https://image-cdn.pluang.com/icons/light/global-stocks/tte.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
DE,https://image-cdn.pluang.com/icons/light/global-stocks/de.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
VRTX,https://image-cdn.pluang.com/icons/light/global-stocks/vrtx.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
BMY,https://image-cdn.pluang.com/icons/light/global-stocks/bmy.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
MMC,https://image-cdn.pluang.com/icons/light/global-stocks/mmc.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
COP,https://image-cdn.pluang.com/icons/light/global-stocks/cop.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
CB,https://image-cdn.pluang.com/icons/light/global-stocks/cb.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
LMT,https://image-cdn.pluang.com/icons/light/global-stocks/lmt.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
AMT,https://image-cdn.pluang.com/icons/light/global-stocks/amt.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
MO,https://image-cdn.pluang.com/icons/light/global-stocks/mo.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
ENB,https://image-cdn.pluang.com/icons/light/global-stocks/enb.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
DUK,https://image-cdn.pluang.com/icons/light/global-stocks/duk.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
BTI,https://image-cdn.pluang.com/icons/light/global-stocks/bti.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
CI,https://image-cdn.pluang.com/icons/light/global-stocks/ci.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
MDLZ,https://image-cdn.pluang.com/icons/light/global-stocks/mdlz.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
HCA,https://image-cdn.pluang.com/icons/light/global-stocks/hca.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
MCK,https://image-cdn.pluang.com/icons/light/global-stocks/mck.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
GSK,https://image-cdn.pluang.com/icons/light/global-stocks/gsk.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
MMM,https://image-cdn.pluang.com/icons/light/global-stocks/mmm.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
CL,https://image-cdn.pluang.com/icons/light/global-stocks/cl.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
REGN,https://image-cdn.pluang.com/icons/light/global-stocks/regn.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
ZTS,https://image-cdn.pluang.com/icons/light/global-stocks/zts.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
GD,https://image-cdn.pluang.com/icons/light/global-stocks/gd.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
NOC,https://image-cdn.pluang.com/icons/light/global-stocks/noc.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
EOG,https://image-cdn.pluang.com/icons/light/global-stocks/eog.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
EQNR,https://image-cdn.pluang.com/icons/light/global-stocks/eqnr.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
AZO,https://image-cdn.pluang.com/icons/light/global-stocks/azo.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
CNQ,https://image-cdn.pluang.com/icons/light/global-stocks/cnq.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
SLB,https://image-cdn.pluang.com/icons/light/global-stocks/slb.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
AEP,https://image-cdn.pluang.com/icons/light/global-stocks/aep.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
PAYX,https://image-cdn.pluang.com/icons/light/global-stocks/payx.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
MNST,https://image-cdn.pluang.com/icons/light/global-stocks/mnst.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
O,https://image-cdn.pluang.com/icons/light/global-stocks/o.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
PSX,https://image-cdn.pluang.com/icons/light/global-stocks/psx.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
AIG,https://image-cdn.pluang.com/icons/light/global-stocks/aig.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
KMB,https://image-cdn.pluang.com/icons/light/global-stocks/kmb.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
GM,https://image-cdn.pluang.com/icons/light/global-stocks/gm.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
D,https://image-cdn.pluang.com/icons/light/global-stocks/d.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
HES,https://image-cdn.pluang.com/icons/light/global-stocks/hes.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
SU,https://image-cdn.pluang.com/icons/light/global-stocks/su.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
OXY,https://image-cdn.pluang.com/icons/light/global-stocks/oxy.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
KR,https://image-cdn.pluang.com/icons/light/global-stocks/kr.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
CCI,https://image-cdn.pluang.com/icons/light/global-stocks/cci.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
DHI,https://image-cdn.pluang.com/icons/light/global-stocks/dhi.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
LHX,https://image-cdn.pluang.com/icons/light/global-stocks/lhx.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
OTIS,https://image-cdn.pluang.com/icons/light/global-stocks/otis.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
VLO,https://image-cdn.pluang.com/icons/light/global-stocks/vlo.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
F,https://image-cdn.pluang.com/icons/light/global-stocks/f.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
XEL,https://image-cdn.pluang.com/icons/light/global-stocks/xel.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
